test, 2013-02-07, 600060, 11.64, 0, 0, 0
test2, 2013-02-08, 600000, 11.34, 0, 0, 0
test2, 2013-02-08, 600000, 11.34, 0, 0, 0
test, 2013-02-08, 600060, 11.86, 0, 0, 0
test, 2013-02-08, 600060, 11.86, 0, 0, 0
test2, 2013-02-18, 600000, 11.26, 0, 0, 0
test2, 2013-02-18, 600000, 11.26, 0, 0, 0
test, 2013-02-18, 600060, 11.66, 0, 0, 0
test, 2013-02-18, 600060, 11.66, 0, 0, 0
test2, 2013-02-19, 600000, 11.1, 0, 0, 0
test2, 2013-02-19, 600000, 11.1, 0, 0, 0
test, 2013-02-19, 600060, 11.06, 0, 0, 0
test, 2013-02-19, 600060, 11.06, 0, 0, 0
test2, 2013-02-20, 600000, 10.81, 0, 0, 0
test2, 2013-02-20, 600000, 10.81, 0, 0, 0
test, 2013-02-20, 600060, 11.34, 0, 0, 0
test, 2013-02-20, 600060, 11.34, 0, 0, 0
test2, 2013-02-21, 600000, 10.22, 0, 0, 0
test2, 2013-02-21, 600000, 10.22, 0, 0, 0
test, 2013-02-21, 600060, 10.9, 0, 0, 0
test, 2013-02-21, 600060, 10.9, 0, 0, 0
test2, 2013-02-22, 600000, 10.14, 0, 0, 0
test2, 2013-02-22, 600000, 10.14, 0, 0, 0
test, 2013-02-22, 600060, 10.72, 0, 0, 0
test, 2013-02-22, 600060, 10.72, 0, 0, 0
test2, 2013-02-25, 600000, 10.32, 0, 0, 0
test2, 2013-02-25, 600000, 10.32, 0, 0, 0
test, 2013-02-25, 600060, 10.9, 0, 0, 0
test, 2013-02-25, 600060, 10.9, 0, 0, 0
test2, 2013-02-26, 600000, 10.33, 0, 0, 0
test2, 2013-02-26, 600000, 10.33, 0, 0, 0
test, 2013-02-26, 600060, 11.21, 0, 0, 0
test, 2013-02-26, 600060, 11.21, 0, 0, 0
test2, 2013-02-27, 600000, 10.39, 0, 0, 0
test2, 2013-02-27, 600000, 10.39, 0, 0, 0
test, 2013-02-27, 600060, 11.14, 0, 0, 0
test, 2013-02-27, 600060, 11.14, 0, 0, 0
test2, 2013-02-28, 600000, 11.06, 0, 0, 0
test2, 2013-02-28, 600000, 11.06, 0, 0, 0
test, 2013-02-28, 600060, 11.61, 0, 0, 0
test, 2013-02-28, 600060, 11.61, 0, 0, 0
test2, 2013-03-01, 600000, 11.17, 0, 0, 0
test2, 2013-03-01, 600000, 11.17, 0, 0, 0
test, 2013-03-01, 600060, 12.06, 0, 0, 0
test, 2013-03-01, 600060, 12.06, 0, 0, 0
test2, 2013-03-04, 600000, 10.39, 0, 0, 0
test2, 2013-03-04, 600000, 10.39, 0, 0, 0
test, 2013-03-04, 600060, 11.5, 0, 0, 0
test, 2013-03-04, 600060, 11.5, 0, 0, 0
test2, 2013-03-05, 600000, 11.07, 0, 0, 0
test2, 2013-03-05, 600000, 11.07, 0, 0, 0
test, 2013-03-05, 600060, 11.85, 0, 0, 0
test, 2013-03-05, 600060, 11.85, 0, 0, 0
test2, 2013-03-06, 600000, 11.11, 0, 0, 0
test2, 2013-03-06, 600000, 11.11, 0, 0, 0
test, 2013-03-06, 600060, 12.48, 0, 0, 0
test, 2013-03-06, 600060, 12.48, 0, 0, 0
test2, 2013-03-07, 600000, 10.76, 0, 0, 0
test2, 2013-03-07, 600000, 10.76, 0, 0, 0
test, 2013-03-07, 600060, 12.36, 0, 0, 0
test, 2013-03-07, 600060, 12.36, 0, 0, 0
test2, 2013-03-08, 600000, 10.71, 0, 0, 0
test2, 2013-03-08, 600000, 10.71, 0, 0, 0
test, 2013-03-08, 600060, 12.53, 0, 0, 0
test, 2013-03-08, 600060, 12.53, 0, 0, 0
test2, 2013-03-11, 600000, 10.47, 0, 0, 0
test2, 2013-03-11, 600000, 10.47, 0, 0, 0
test, 2013-03-11, 600060, 12.46, 0, 0, 0
test, 2013-03-11, 600060, 12.46, 0, 0, 0
test2, 2013-03-12, 600000, 10.29, 0, 0, 0
test2, 2013-03-12, 600000, 10.29, 0, 0, 0
test, 2013-03-12, 600060, 12.07, 0, 0, 0
test, 2013-03-12, 600060, 12.07, 0, 0, 0
test2, 2013-03-13, 600000, 10.25, 0, 0, 0
test2, 2013-03-13, 600000, 10.25, 0, 0, 0
test, 2013-03-13, 600060, 11.66, 0, 0, 0
test, 2013-03-13, 600060, 11.66, 0, 0, 0
test2, 2013-03-14, 600000, 10.45, 0, 0, 0
test2, 2013-03-14, 600000, 10.45, 0, 0, 0
test, 2013-03-14, 600060, 11.69, 0, 0, 0
test, 2013-03-14, 600060, 11.69, 0, 0, 0
test2, 2013-03-15, 600000, 10.51, 0, 0, 0
test2, 2013-03-15, 600000, 10.51, 0, 0, 0
test, 2013-03-15, 600060, 11.84, 0, 0, 0
test, 2013-03-15, 600060, 11.84, 0, 0, 0
test2, 2013-03-18, 600000, 10.48, 0, 0, 0
test2, 2013-03-18, 600000, 10.48, 0, 0, 0
test, 2013-03-18, 600060, 11.59, 0, 0, 0
test, 2013-03-18, 600060, 11.59, 0, 0, 0
