2014-04-23, 002230, 24.98, 24.98, 300, S
2014-04-25, 600060, 10.75, 10.75, 300, S
2014-04-28, 600060, 10.44, 10.44, 300, S
2014-05-12, 600111, 20.59, 20.59, 300, B
2014-06-13, 600060, 9.86, 9.86, 300, S
2014-06-17, 600516, 7.93, 7.93, 300, B
2014-06-18, 600516, 8.72, 8.72, 300, B
2014-06-18, 002230, 26.76, 26.76, 300, B
2014-06-19, 600516, 9.21, 9.21, 300, B
2014-06-20, 600516, 8.76, 8.76, 300, B
2014-06-20, 002230, 27.38, 27.38, 300, B
2014-06-23, 600516, 8.95, 8.95, 300, B
2014-06-23, 002230, 27.49, 27.49, 300, B
2014-06-24, 600000, 9.02, 9.02, 300, S
2014-06-24, 600111, 20.05, 20.05, 300, B
2014-06-24, 600516, 9.09, 9.09, 300, B
2014-06-24, 002230, 27.2, 27.2, 300, B
2014-06-25, 600000, 8.96, 8.96, 300, S
2014-06-26, 600000, 8.97, 8.97, 300, S
2014-06-26, 600516, 9.46, 9.46, 300, B
2014-06-26, 002230, 27.61, 27.61, 300, B
2014-06-27, 600516, 9.61, 9.61, 300, B
2014-07-01, 002230, 28.0, 28.0, 300, B
2014-07-03, 600111, 19.83, 19.83, 300, B
2014-07-09, 002230, 26.09, 26.09, 300, S
2014-07-10, 600111, 20.08, 20.08, 300, B
2014-07-10, 002230, 26.1, 26.1, 300, S
2014-07-11, 600111, 20.08, 20.08, 300, B
2014-07-11, 600516, 9.82, 9.82, 300, B
2014-07-14, 600111, 20.41, 20.41, 300, B
2014-07-14, 600516, 10.03, 10.03, 300, B
2014-07-15, 600111, 20.66, 20.66, 300, B
2014-07-24, 600000, 9.34, 9.34, 300, B
2014-07-24, 600111, 20.91, 20.91, 300, B
2014-07-25, 600000, 9.41, 9.41, 300, B
2014-07-25, 600111, 21.83, 21.83, 300, B
2014-07-28, 600000, 9.78, 9.78, 300, B
2014-07-28, 600111, 22.0, 22.0, 300, B
2014-07-29, 600000, 9.8, 9.8, 300, B
2014-07-29, 600111, 21.88, 21.88, 300, B
2014-07-30, 600000, 9.73, 9.73, 300, B
2014-07-30, 600111, 21.75, 21.75, 300, B
2014-07-31, 600000, 9.82, 9.82, 300, B
2014-07-31, 600111, 22.22, 22.22, 300, B
2014-08-01, 600000, 9.78, 9.78, 300, B
2014-08-04, 600000, 9.94, 9.94, 300, B
2014-08-04, 600060, 10.27, 10.27, 300, B
2014-08-04, 600111, 23.41, 23.41, 300, B
2014-08-05, 600000, 9.89, 9.89, 300, B
2014-08-05, 600111, 23.77, 23.77, 300, B
2014-08-06, 600111, 24.4, 24.4, 300, B
2014-08-06, 600516, 10.55, 10.55, 300, B
2014-08-07, 600111, 23.84, 23.84, 300, B
2014-08-07, 600516, 10.37, 10.37, 300, B
2014-08-08, 600516, 10.5, 10.5, 300, B
2014-08-11, 600111, 24.17, 24.17, 300, B
2014-08-11, 600516, 11.26, 11.26, 300, B
2014-08-12, 600060, 10.45, 10.45, 300, B
2014-08-12, 600111, 24.08, 24.08, 300, B
2014-08-12, 600516, 11.29, 11.29, 300, B
2014-08-13, 600516, 11.08, 11.08, 300, B
2014-08-15, 600060, 10.45, 10.45, 300, B
2014-08-18, 600060, 10.62, 10.62, 300, B
2014-08-18, 600516, 11.31, 11.31, 300, B
2014-08-20, 600060, 10.56, 10.56, 300, B
2014-08-21, 002230, 27.41, 27.41, 300, B
2014-08-22, 600060, 10.13, 10.13, 300, S
2014-08-25, 600060, 10.0, 10.0, 300, S
2014-08-26, 600060, 9.84, 9.84, 300, S
2014-08-26, 600111, 22.33, 22.33, 300, S
2014-08-27, 600060, 9.88, 9.88, 300, S
2014-08-27, 600111, 22.29, 22.29, 300, S
2014-08-28, 600060, 9.79, 9.79, 300, S
2014-08-28, 600111, 21.95, 21.95, 300, S
2014-09-04, 002230, 28.88, 28.88, 300, B
2014-09-10, 600060, 10.41, 10.41, 300, B
2014-09-11, 600060, 11.45, 11.45, 300, B
2014-09-12, 600060, 11.38, 11.38, 300, B
2014-09-15, 600060, 12.52, 12.52, 300, B
2014-09-16, 600060, 12.12, 12.12, 300, B
2014-09-16, 600516, 10.49, 10.49, 300, S
2014-09-16, 002230, 26.89, 26.89, 300, S
2014-09-17, 600060, 12.35, 12.35, 300, B
2014-09-18, 600000, 9.75, 9.75, 300, B
2014-09-19, 600000, 9.87, 9.87, 300, B
2014-09-24, 002230, 29.08, 29.08, 300, B
2014-09-25, 002230, 29.0, 29.0, 300, B
2014-09-26, 002230, 31.27, 31.27, 300, B
2014-09-29, 002230, 31.53, 31.53, 300, B
2014-09-30, 002230, 31.32, 31.32, 300, B
2014-10-08, 002230, 30.87, 30.87, 300, B
2014-10-16, 600000, 9.91, 9.91, 300, B
2014-10-16, 600516, 10.33, 10.33, 300, S
